ID_DIA,ID_LOJA,ID_POS,NOME_LOJA,DESC_STORE2,ZONA_REGION,DESC_REGIAO,DESC_CITY,MORADA,UNIDAD_DE_NEGOCIO,VALOR_PV,TOTAL_TRANSACCIONES_SIN_CLIENTE,TOTAL_TRANSACCIONES_CLIENTE_ID,TOTAL_TRANSACCIONES_CLIENTE_FE,TOTAL_TRANSACCIONES_CLIENTE_EMPLEADO,TOTAL_TRANSACCIONES_CLIENTE_FIADO,CLIENTE_OK,CLIENTE_ERRADO,TOTAL_POS,TOTAL_TRANSACCIONES_CON_CLIENTE,COBERTURA_ID,COBERTURA_NO_ID,COBERTURA_ERRADOS,TOTAL_ACUMULADO,TOTAL_ID_ACUMULADO,COBERTURA_TOTAL_ID
2024-02-28,1296,001,PLANETA RICA BDC SAN MARTIN,PLT RICA SAN MARTIN,NORTE,REGION 6,Planeta Rica,CL 18 #6-64,BdC,5182366.341736695,10,132,0,3,0,111,8,145,135,0.9310344827586207,0.06896551724137931,0.05517241379310345,19531,10316,0.528185960780298
2024-02-28,0644,003,GIRON RIO PRADO,GIRON RIO PRADO,CENTRO,REGION 11,Girón,CR 26 # 13-120 Lote 2,BdC,18288779.470588237,81,62,1,1,1,58,6,146,65,0.4452054794520548,0.5547945205479452,0.0410958904109589,19531,10316,0.528185960780298
2024-02-28,1373,001,GARZON  BDC PLAZA MERCADO,GARZON BDC PLZ MRCDO,OCCIDENTE,REGION 7,Garzón,CR10A #3-31/39,BdC,15573366.761904761,33,161,2,0,0,149,5,196,163,0.8316326530612245,0.1683673469387755,0.025510204081632654,19531,10316,0.528185960780298
2024-02-28,0644,004,GIRON RIO PRADO,GIRON RIO PRADO,CENTRO,REGION 11,Girón,CR 26 # 13-120 Lote 2,BdC,4420112.044817927,4,0,1,0,0,1,0,5,1,0.2,0.8,0.0,19531,10316,0.528185960780298
2024-02-28,0976,003,MAICAO PARAGUACHON,MAICAO PARAGUACHON,NORTE,REGION 10,Maicao,CL 3 # 5-07,BdC,2387155.81232493,1,32,0,0,0,7,24,33,32,0.9696969696969697,0.030303030303030304,0.7272727272727273,19531,10316,0.528185960780298
2024-02-28,1373,002,GARZON  BDC PLAZA MERCADO,GARZON BDC PLZ MRCDO,OCCIDENTE,REGION 7,Garzón,CR10A #3-31/39,BdC,1518016.9803921569,22,42,0,1,0,42,1,65,43,0.6615384615384615,0.3384615384615385,0.015384615384615385,19531,10316,0.528185960780298
2024-02-28,0644,002,GIRON RIO PRADO,GIRON RIO PRADO,CENTRO,REGION 11,Girón,CR 26 # 13-120 Lote 2,BdC,6470299.543417367,151,41,0,0,1,32,6,193,42,0.21761658031088082,0.7823834196891192,0.031088082901554404,19531,10316,0.528185960780298
2024-02-28,0976,001,MAICAO PARAGUACHON,MAICAO PARAGUACHON,NORTE,REGION 10,Maicao,CL 3 # 5-07,BdC,9507920.731092436,173,77,0,0,0,54,22,250,77,0.308,0.692,0.088,19531,10316,0.528185960780298
2024-02-28,1145,001,ORITO SAN CARLOS,ORITO SAN CARLOS,OCCIDENTE,REGION 7,Orito,CL 8 # 13-57,BdC,9025231.574229691,257,111,1,5,1,113,2,375,118,0.31466666666666665,0.6853333333333333,0.005333333333333333,19531,10316,0.528185960780298
2024-02-28,1155,002,TURBACO TRONCAL,TURBACO TRONCAL,NORTE,REGION 2,Turbaco,CR 15 # 24-91,BdC,2012412.4593837536,37,40,0,0,0,35,4,77,40,0.5194805194805194,0.4805194805194805,0.05194805194805195,19531,10316,0.528185960780298
2024-02-28,1373,003,GARZON  BDC PLAZA MERCADO,GARZON BDC PLZ MRCDO,OCCIDENTE,REGION 7,Garzón,CR10A #3-31/39,BdC,2579021.0196078434,27,20,1,2,0,22,1,50,23,0.46,0.54,0.02,19531,10316,0.528185960780298
2024-02-28,0644,001,GIRON RIO PRADO,GIRON RIO PRADO,CENTRO,REGION 11,Girón,CR 26 # 13-120 Lote 2,BdC,6566378.546218487,54,33,0,2,0,32,2,89,35,0.39325842696629215,0.6067415730337079,0.02247191011235955,19531,10316,0.528185960780298
2024-02-28,1148,003,RIOSUCIO MERCADO,RIOSUCIO MERCADO,OCCIDENTE,REGION 1,Riosucio,CL 12 # 5-50,BdC,1172036.4929971988,4,48,0,0,0,40,6,52,48,0.9230769230769231,0.07692307692307693,0.11538461538461539,19531,10316,0.528185960780298
2024-02-28,0976,002,MAICAO PARAGUACHON,MAICAO PARAGUACHON,NORTE,REGION 10,Maicao,CL 3 # 5-07,BdC,5276377.907563025,121,45,0,0,0,38,7,166,45,0.2710843373493976,0.7289156626506024,0.04216867469879518,19531,10316,0.528185960780298
2024-02-28,1145,002,ORITO SAN CARLOS,ORITO SAN CARLOS,OCCIDENTE,REGION 7,Orito,CL 8 # 13-57,BdC,9520286.134453781,43,157,1,1,0,150,5,202,159,0.7871287128712872,0.21287128712871287,0.024752475247524754,19531,10316,0.528185960780298
2024-02-28,1155,001,TURBACO TRONCAL,TURBACO TRONCAL,NORTE,REGION 2,Turbaco,CR 15 # 24-91,BdC,5361498.924369748,36,96,0,1,0,76,15,133,97,0.7293233082706767,0.2706766917293233,0.11278195488721804,19531,10316,0.528185960780298
2024-02-28,1038,002,SAN JOSE DE GUAVIARE MCDO LA E,SAN JOSE DE GUAVIARE,CENTRO,REGION 3,San Jose del Guaviar,CR 20 #10-63,BdC,1898398.0,7,48,0,0,0,41,5,55,48,0.8727272727272727,0.12727272727272726,0.09090909090909091,19531,10316,0.528185960780298
2024-02-28,0798,002,PIEDECUESTA PIEDECUESTA,PIEDECUESTA,CENTRO,REGION 11,Piedecuesta,CR 8 #8-53 /83,BdC,7496685.467787115,102,1,0,1,1,2,1,105,3,0.02857142857142857,0.9714285714285714,0.009523809523809525,19531,10316,0.528185960780298
2024-02-28,0772,001,NEIVA MERCANEIVA,NEIVA MERCANEIVA,OCCIDENTE,REGION 7,Neiva,CR 5 #38-61 S LC 2508,BdC,10739.495798319327,1,1,0,0,0,1,0,2,1,0.5,0.5,0.0,19531,10316,0.528185960780298
